Date,Open,High,Low,Close,Adj Close,Volume,¼öÀÍ·ü
2016-12-02,593.210022,593.450012,586.72998,586.72998,586.72998,554200.0,-0.01198955340195218
2016-12-05,584.559998,584.619995,575.119995,575.119995,575.119995,620800.0,-0.019787611671044925
2016-12-06,578.179993,583.22998,578.179993,581.349976,581.349976,546000.0,0.01083248896606337
2016-12-07,584.119995,584.880005,573.539978,578.52002,578.52002,601700.0,-0.00486790421747596
2016-12-08,581.880005,586.460022,581.109985,584.619995,584.619995,672400.0,0.010544103555828466
2016-12-09,585.799988,594.530029,585.23999,594.349976,594.349976,603200.0,0.0166432573008386
2016-12-12,599.099976,603.119995,598.400024,603.080017,603.080017,625800.0,0.0146883845419723
2016-12-13,604.309998,611.169983,601.690002,611.090027,611.090027,638100.0,0.013281836197865493
2016-12-14,614.590027,615.710022,611.47998,612.469971,612.469971,698100.0,0.002258168091491486
2016-12-15,610.51001,620.609985,610.119995,620.609985,620.609985,597500.0,0.01329047036658726
2016-12-16,622.52002,623.039978,617.929993,622.080017,622.080017,771300.0,0.0023686889278777823
2016-12-19,624.22998,624.22998,620.419983,622.77002,622.77002,649000.0,0.0011091868909849367
2016-12-20,624.289978,624.809998,617.97998,617.98999,617.98999,664500.0,-0.007675433701834322
2016-12-21,620.340027,621.049988,616.219971,618.630005,618.630005,841500.0,0.0010356397520288052
2016-12-22,619.609985,620.159973,615.909973,615.929993,615.929993,873500.0,-0.0043645021712129806
2016-12-23,617.140015,620.469971,616.299988,619.75,619.75,701700.0,0.006202014909834075
2016-12-26,621.150024,621.150024,615.159973,615.159973,615.159973,688900.0,-0.007406255748285573
2016-12-27,616.659973,619.419983,616.659973,618.380005,618.380005,692400.0,0.0052344628085871925
2016-12-28,622.26001,627.330017,621.070007,627.27002,627.27002,628300.0,0.014376297629481227
2016-12-29,626.210022,631.51001,624.22998,631.440002,631.440002,582800.0,0.006647826082936348
2017-01-02,632.890015,633.0,629.539978,632.039978,632.039978,512200.0,0.0009501710346186965
2017-01-03,633.299988,636.650024,633.099976,636.570007,636.570007,622500.0,0.007167314027088256
2017-01-04,638.72998,639.909973,636.73999,639.789978,639.789978,617500.0,0.005058314033950406
2017-01-05,642.01001,642.640015,640.869995,642.47998,642.47998,811300.0,0.004204507873675878
2017-01-06,643.960022,644.169983,641.960022,643.679993,643.679993,758400.0,0.0018677827128559255
2017-01-09,645.919983,645.919983,642.150024,642.150024,642.150024,667300.0,-0.002376909359679158
2017-01-10,642.849976,643.25,636.26001,636.72998,636.72998,802100.0,-0.008440463750570615
2017-01-11,637.559998,639.289978,637.190002,637.900024,637.900024,918700.0,0.0018375827065659767
2017-01-12,639.039978,639.130005,632.210022,632.869995,632.869995,824100.0,-0.007885293636546442
2017-01-13,633.880005,637.469971,631.669983,634.679993,634.679993,754600.0,0.002859983905541208
2017-01-16,636.77002,636.799988,627.280029,627.880005,627.880005,650000.0,-0.010714041839979593
2017-01-17,628.299988,630.159973,623.48999,624.0,624.0,752500.0,-0.006179532664047804
2017-01-18,624.869995,626.890015,621.700012,626.890015,626.890015,673200.0,0.0046314342948716725
2017-01-19,629.630005,630.26001,626.190002,626.190002,626.190002,711800.0,-0.0011166440416184864
2017-01-20,626.5,626.859985,622.119995,622.119995,622.119995,721900.0,-0.00649963587250002
2017-01-23,623.280029,623.650024,615.98999,615.98999,615.98999,698000.0,-0.009853412604106992
2017-01-24,616.359985,616.950012,612.890015,612.929993,612.929993,682300.0,-0.004967608321037931
2017-01-25,615.369995,616.719971,609.25,609.640015,609.640015,773900.0,-0.005367624422973893
2017-01-26,611.429993,616.809998,610.049988,616.809998,616.809998,639700.0,0.01176101112719774
2017-01-31,616.77002,618.320007,615.059998,616.130005,616.130005,727000.0,-0.0011024351132518095
2017-02-01,617.299988,623.679993,617.26001,623.679993,623.679993,938200.0,0.01225388787874393
2017-02-02,623.460022,623.460022,613.02002,613.039978,613.039978,1268200.0,-0.017060055027290133
2017-02-03,614.369995,614.830017,606.719971,609.210022,609.210022,1217700.0,-0.006247481628351537
2017-02-06,610.789978,611.440002,607.77002,610.960022,610.960022,654500.0,0.0028725725723532936
2017-02-07,611.650024,612.619995,606.590027,608.719971,608.719971,683100.0,-0.0036664444797338547
2017-02-08,609.719971,609.840027,604.75,608.789978,608.789978,722400.0,0.00011500690520316326
2017-02-09,610.109985,611.219971,607.369995,611.039978,611.039978,1048200.0,0.003695855847350993
2017-02-10,612.380005,613.530029,609.840027,610.580017,610.580017,1112000.0,-0.0007527510744967936
2017-02-13,611.590027,611.940002,609.359985,611.940002,611.940002,867000.0,0.0022273657213385256
2017-02-14,613.22998,613.349976,609.52002,611.539978,611.539978,836300.0,-0.0006536980728382158
2017-02-15,612.700012,616.169983,612.159973,615.950012,615.950012,895600.0,0.0072113584698463296
2017-02-16,617.859985,617.960022,613.940002,616.580017,616.580017,962600.0,0.001022818390658653
2017-02-17,615.719971,619.400024,615.52002,618.700012,618.700012,1123800.0,0.003438312857291237
2017-02-20,620.179993,620.460022,618.97998,619.969971,619.969971,918000.0,0.0020526248187626717
2017-02-21,621.48999,622.840027,620.97998,622.469971,622.469971,1171700.0,0.004032453371842326
2017-02-22,623.880005,624.130005,621.390015,621.390015,621.390015,964800.0,-0.0017349527693120148
2017-02-23,622.409973,622.960022,617.669983,617.669983,617.669983,811200.0,-0.005986629830220136
2017-02-24,619.349976,620.039978,614.710022,614.75,614.75,967400.0,-0.004727416064186474
2017-02-27,615.77002,615.830017,612.119995,612.119995,612.119995,617500.0,-0.00427816998779984
2017-02-28,613.669983,614.359985,611.130005,612.200012,612.200012,675800.0,0.00013072110150558203
2017-03-02,614.580017,614.590027,608.609985,608.929993,608.929993,705500.0,-0.005341422632967996
2017-03-03,607.590027,607.590027,597.429993,600.72998,600.72998,902000.0,-0.013466265571188574
2017-03-06,598.97998,604.289978,597.659973,604.049988,604.049988,707700.0,0.005526622793155855
2017-03-07,603.570007,606.099976,602.950012,606.049988,606.049988,1018800.0,0.0033109842558260993
2017-03-08,607.150024,607.419983,604.799988,605.75,605.75,882900.0,-0.0004949888721059725
2017-03-09,607.580017,610.580017,605.299988,606.130005,606.130005,885200.0,0.0006273297565002611
2017-03-10,607.01001,612.26001,596.849976,612.26001,612.26001,1244800.0,0.010113350187968217
2017-03-13,613.789978,615.869995,613.440002,615.590027,615.590027,805100.0,0.0054388935184579434
2017-03-14,617.070007,617.210022,613.929993,614.119995,614.119995,1063400.0,-0.002388004898591256
2017-03-15,615.380005,615.539978,608.030029,608.679993,608.679993,1072600.0,-0.008858206937229052
2017-03-16,611.47998,613.880005,610.599976,613.880005,613.880005,904900.0,0.008543096635016179
2017-03-17,615.090027,615.090027,611.650024,613.26001,613.26001,823300.0,-0.0010099612219818255
2017-03-20,613.72998,613.72998,607.47998,609.109985,609.109985,735100.0,-0.00676715411461426
2017-03-21,610.700012,612.130005,608.659973,609.72998,609.72998,831300.0,0.0010178703604735162
2017-03-22,608.359985,611.48999,606.799988,607.570007,607.570007,718800.0,-0.0035425074555132108
2017-03-23,609.359985,609.679993,604.47998,605.530029,605.530029,824100.0,-0.0033576015545481175
2017-03-24,607.340027,608.280029,605.590027,608.179993,608.179993,746400.0,0.004376271816570743
2017-03-27,609.630005,611.030029,606.960022,607.070007,607.070007,813800.0,-0.0018250945653845996
2017-03-28,608.75,612.280029,607.97998,612.280029,612.280029,806000.0,0.008582242476031343
2017-03-29,614.650024,614.659973,612.549988,613.630005,613.630005,788100.0,0.002204834285065349
2017-03-30,615.340027,615.429993,613.090027,614.679993,614.679993,799600.0,0.0017111092864501298
2017-03-31,616.200012,619.47998,615.429993,619.280029,619.280029,775600.0,0.007483627338428889
2017-04-03,621.469971,628.52002,620.340027,628.52002,628.52002,767700.0,0.01492053766842849
2017-04-04,629.22998,629.780029,625.200012,625.48999,625.48999,994500.0,-0.004820896556326115
2017-04-05,627.890015,630.169983,626.940002,630.169983,630.169983,923700.0,0.007482122935332569
2017-04-06,630.590027,630.590027,625.200012,630.460022,630.460022,873400.0,0.0004602551816561551
2017-04-07,632.159973,633.48999,629.609985,633.320007,633.320007,833200.0,0.004536346318879003
2017-04-10,633.23999,633.23999,617.159973,619.409973,619.409973,865600.0,-0.021963673729322064
2017-04-11,620.25,625.179993,614.210022,621.640015,621.640015,813400.0,0.0036002681539000214
2017-04-12,622.539978,622.72998,619.27002,621.450012,621.450012,695600.0,-0.0003056479560762382
2017-04-13,622.48999,624.150024,622.380005,623.869995,623.869995,742500.0,0.0038940911630396258
2017-04-14,623.140015,624.72998,617.719971,618.23999,618.23999,699900.0,-0.009024324050077137
2017-04-17,621.450012,629.469971,621.450012,629.469971,629.469971,599200.0,0.018164436435113007
2017-04-18,632.400024,634.820007,630.27002,634.72998,634.72998,914100.0,0.008356250881426108
2017-04-19,634.929993,636.419983,633.640015,635.98999,635.98999,814000.0,0.0019851118423617198
2017-04-20,636.869995,637.48999,635.440002,635.799988,635.799988,875200.0,-0.0002987499850430897
2017-04-21,638.02002,638.02002,633.700012,634.960022,634.960022,700900.0,-0.0013211167283003755
2017-04-24,635.580017,635.580017,626.619995,626.619995,626.619995,709200.0,-0.013134727716763162
2017-04-25,629.210022,632.570007,629.210022,632.570007,632.570007,820900.0,0.009495407180551307
2017-04-26,635.049988,635.380005,634.299988,635.109985,635.109985,753700.0,0.004015331065166938
2017-04-27,636.23999,636.289978,630.919983,631.109985,631.109985,682500.0,-0.0062981217339859175
2017-04-28,632.830017,632.830017,627.280029,628.23999,628.23999,755500.0,-0.004547535403040759
